Year,Month,Day,Weekday,Start Time,Event Name,Venue
2018,04,21,土,16:00,石原夏織 デビューシングルイベント 「CARRY MEETING」ポニーキャニオン1階イベントスペース 3回目,旧ポニーキャニオン1Fイベントスペース(閉館)
2018,03,24,土,17:30,AJ Night 2018,豊洲PIT
2018,03,10,土,Start time not available,プロジェクト東京ドールズ　リアルイベント「ドールズフェスタ　シークレットガーデン」  (チームA),!_東京都内某所
2018,01,14,日,19:00,美佳子＠ぱよぱよ公開録音　ゲスト：石原夏織さん 2018年1月14日,町屋ムーブホール
2017,12,24,日,18:00,JOYSOUND presents 小山剛志カラオケ企画 カラオケMAX〜extra〜「クリスマスパーティーVer.」夜公演,[初代]ニッショーホール(旧日本消防会館)(閉館)
2017,12,09,土,16:00,ガールフレンド(仮) 5th Anniversary LIVE ～SEIO Christmas Party～,NEW PIER HALL(ニューピアホール)
2017,12,03,日,16:30,まんなかあいらんどへようこそ！vol.1 ～中島由貴と愛原ありさのまんなかあいらんど公開録音～　第2部,快・決いい会議室(KDX東新宿ビル)
2017,12,03,日,13:30,まんなかあいらんどへようこそ！vol.1 ～中島由貴と愛原ありさのまんなかあいらんど公開録音～　第1部,快・決いい会議室(KDX東新宿ビル)
2017,10,08,日,17:00,グリモア 魔法学園祭 3rd Anniversary 2017 声優イベント,科学技術館サイエンスホール
2017,09,09,土,14:30,文化放送 超!A&G+「和田昌之と長久友紀のWADAX Radio」公開収録 in Kamogawa「おかえり、鴨川！」,亀田医療大学学生会館4F みずきホール
2017,08,13,日,18:00,スクールガールストライカーズ AnimationChannel 五稜館学園 夏まつり!!（夜の部）,旧さいたま市民会館おおみや(閉館)
2017,08,13,日,15:00,スクールガールストライカーズ AnimationChannel 五稜館学園 夏まつり!! （昼の部）,旧さいたま市民会館おおみや(閉館)
2017,07,28,金,15:45,2017麽多动漫游戏影视嘉年华初日 石原夏織お渡し会,广州体育馆(広州体育館)
2017,07,28,金,15:00,2017麽多动漫游戏影视嘉年华初日 キラキラ！星次元舞台活动   石原夏織見面会,广州体育馆(広州体育館)
2017,07,15,土,13:00,「プロジェクト東京ドールズ」スペシャルトークショー ポタフェスステージ(仮),ベルサール秋葉原
2017,02,11,土,18:10,ゆいかおりLIVE TOUR『Starlight Link』 東京公演,国立代々木競技場第一体育館
2017,02,05,日,18:00,ゆいかおりLIVE TOUR『Starlight Link』 大阪公演,グランキューブ大阪(大阪府立国際会議場)
2017,01,22,日,16:00,『ポッピンＱ』青春、寄り道、卒業生応援上映会,新宿バルト9
2017,01,15,日,18:00,ゆいかおりLIVE TOUR『Starlight Link』 仙台公演,仙台サンプラザホール
2017,01,14,土,11:45,『ポッピンQ』 トークイベント【新春！開運！ポッピンの集い】付き上映会 新宿1回目,新宿バルト9
2017,01,14,土,14:30,『ポッピンQ』 トークイベント【新春！開運！ポッピンの集い】付き上映会 新宿2回目,新宿バルト9
2017,01,09,月,18:00,ゆいかおりLIVE TOUR『Starlight Link』 名古屋公演,名古屋国際会議場 センチュリーホール
2016,12,23,金,08:30,映画『ポッピンQ』12/23（金・祝）丸の内TOEI,丸の内TOEI
